14:43;temperature;-3
14:43;wind_speed;5
14:43;pressure;735
14:43;temperature;-12
14:43;wind_speed;9
14:43;pressure;720
14:43;temperature;-3
14:43;wind_speed;17
14:43;pressure;732
15:02;temperature;-20
15:02;wind_speed;26
15:02;pressure;749
15:02;temperature;-11
15:02;wind_speed;18
15:02;pressure;746
15:02;temperature;-16
15:02;wind_speed;30
15:02;pressure;741
15:02;temperature;-18
15:02;wind_speed;11
15:02;pressure;748
15:02;temperature;-2
15:02;wind_speed;20
15:02;pressure;724
15:02;temperature;-9
15:02;wind_speed;17
15:02;pressure;746
